"id","vestibular","disciplina","ano","fase","assunto","conteudo","questao"
"93","unicamp","Física","2017","primeira","mecânica","hidrostática","62"
"94","unicamp","Física","2017","primeira","eletrodinâmica","corrente elétrica","63"
"95","unicamp","Física","2017","primeira","ondulatória","frequência","64"
"96","unicamp","Física","2017","primeira","óptica","espelho esférico","65"
"97","unicamp","Física","2016","primeira","mecânica","cinemática","1"
"98","unicamp","Física","2016","primeira","mecânica","cinemática","2"
"99","unicamp","Física","2016","primeira","termodinâmica","transferência de calor","3"
"100","unicamp","Física","2016","primeira","mecânica","trabalho","4"
"101","unicamp","Física","2016","primeira","óptica","propriedades","5"
"102","unicamp","Física","2016","primeira","mecânica","quantidade de movimento","6"
"103","unicamp","Física","2016","primeira","eletrodinâmica","resitência","7"
"104","unicamp","Física","2016","primeira","ondulatória","frequência","8"
"105","unicamp","Física","2016","primeira","mecânica","rotação","9"
"106","unicamp","Física","2016","primeira","mecânica","quantidade de movimento","10"
"107","unesp","Física","2017","primeira_1sem","mecânica","cinemática curvilíneo","77"
"108","unesp","Física","2017","primeira_1sem","mecânica","força","78"
"109","unesp","Física","2017","primeira_1sem","mecânica","cinemática lançamento","79"
"110","unesp","Física","2017","primeira_1sem","óptica","refração","80"
"111","unesp","Física","2017","primeira_1sem","ondulatória","ondas sonoras","81"
"112","unesp","Física","2017","primeira_1sem","eletrostática","campo elétrico","82"
"113","unesp","Física","2017","primeira_1sem","eletromagnetismo","campo magnético","83"
"114","unesp","Física","2018","primeira_2sem","mecânica","cinemática","76"
"115","unesp","Física","2018","primeira_2sem","mecânica","estática","77"
"116","unesp","Física","2018","primeira_2sem","mecânica","hidrostática","78"
"117","unesp","Física","2018","primeira_2sem","termodinâmica","calorimetria","79"
"118","unesp","Física","2018","primeira_2sem","óptica","lentes","80"
"119","unesp","Física","2018","primeira_2sem","eletrostática","força elétrica","81"
"120","unesp","Física","2018","primeira_2sem","eletrodinâmica","circuito","82"
"121","unesp","Física","2019","primeira_1sem","mecânica","estática","76"
"122","unesp","Física","2019","primeira_1sem","mecânica","estática interdisciplinar","77"
"123","unesp","Física","2019","primeira_1sem","mecânica","estática interdisciplinar","78"
"124","unesp","Física","2019","primeira_1sem","física moderna","teoria atômica","79"
"125","unesp","Física","2019","primeira_1sem","termodinâmica","calorimetria","80"
"126","unesp","Física","2019","primeira_1sem","óptica","refração","81"
"127","unesp","Física","2019","primeira_1sem","eletromagnetismo","campo magnético","82"
"128","unesp","Física","2020","primeira_1sem","mecânica","cinemática","76"
"129","unesp","Física","2020","primeira_1sem","gravitação","leis Kepler","77"
"130","unesp","Física","2020","primeira_1sem","mecânica","energia","78"
"131","unesp","Física","2020","primeira_1sem","termodinâmica","calorimetria","79"
"132","unesp","Física","2020","primeira_1sem","óptica","lentes","80"
"133","unesp","Física","2020","primeira_1sem","física moderna","energia","81"
"134","unesp","Física","2020","primeira_1sem","eletrodinâmica","potência","82"
"135","unesp","Física","2016","primeira_1sem","mecânica","cinemática","76"
"136","unesp","Física","2016","primeira_1sem","mecânica","frequência","77"
"137","unesp","Física","2016","primeira_1sem","mecânica","força","78"
"138","unesp","Física","2016","primeira_1sem","mecânica","lançamento","79"
"139","unesp","Física","2016","primeira_1sem","termodinâmica","gases","80"
"140","unesp","Física","2016","primeira_1sem","óptica","espelhos esféricos","81"
"141","unesp","Física","2016","primeira_1sem","ondulatória","comprimento onda","82"
"142","unesp","Física","2016","primeira_1sem","eletrodinâmica","potência","83"
"143","unesp","Física","2018","primeira_1sem","mecânica","cinemática","76"
"144","unesp","Física","2018","primeira_1sem","mecânica","energia","77"
"145","unesp","Física","2018","primeira_1sem","mecânica","lançamento","78"
"146","unesp","Física","2018","primeira_1sem","termodinâmica","calorimetria","79"
"147","unesp","Física","2018","primeira_1sem","óptica","fenômenos","80"
"148","unesp","Física","2018","primeira_1sem","ondulatória","nível sonoro","81"
"149","unesp","Física","2018","primeira_1sem","eletrodinâmica","circuito","82"
